index,age,departement,categorie_socio_professionnelle,type_de_bien,statut,surface,montant_assure,debut_contrat,nb_sinistres_depuis_ouverture,ouverture_dernier_sinistre,cloture_dernier_sinistre,cotisation_n-1,cotisation_n,target
25,42.0,53,Ouvriers,Appartement,Propriétaire,77.66,7919.0,2013-08-27 00:00:00,3.0,2017-12-21 05:39:57,2018-03-27 05:39:57,224.99,244.57,1
26,46.0,93,Employés,Maison,Propriétaire,119.31,16084.0,2017-10-14 00:00:00,1.0,2019-05-28 09:24:33,2019-05-29 09:24:33,365.62,375.28,0
27,49.0,23,Employés,Maison,Locataire,126.31,10059.0,1999-12-28 00:00:00,2.0,2003-11-15 15:49:36,2004-03-08 15:49:36,401.44,405.68,0
28,45.0,19,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,146.69,27072.0,2009-10-17 00:00:00,1.0,2012-07-08 01:29:41,2012-09-26 01:29:41,360.83,364.73,0
29,73.0,93,Inactifs,Appartement,Locataire,76.21,24246.0,2012-04-21 00:00:00,3.0,2015-10-01 13:26:27,2016-01-02 13:26:27,217.66,250.29,0
30,36.0,22,Cadres et professions intellectuelles supérieures,Appartement,Locataire,119.36,25924.0,2017-01-15 00:00:00,0.0,,,199.43,200.44,0
31,39.0,92,Cadres et professions intellectuelles supérieures,Appartement,Locataire,73.23,8240.0,1999-01-22 00:00:00,1.0,2000-10-19 04:13:48,2000-11-19 04:13:48,219.2,227.19,0
32,48.0,41,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,93.54,45110.0,1996-03-03 00:00:00,1.0,1999-11-26 12:28:17,1999-12-04 12:28:17,226.02,226.93,0
33,49.0,36,Employés,Appartement,Propriétaire,63.96,16517.0,2003-12-25 00:00:00,1.0,2008-11-18 12:34:44,2008-12-27 12:34:44,235.49,235.91,0
34,39.0,50,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,61.9,25024.0,1995-09-07 00:00:00,4.0,1997-02-17 02:23:53,1997-06-02 02:23:53,208.98,286.91,1
35,31.0,23,Inactifs,Appartement,Locataire,90.4,29137.0,2011-03-20 00:00:00,1.0,2012-02-01 14:10:44,2012-04-24 14:10:44,217.43,218.51,0
36,56.0,972,Ouvriers,Appartement,Locataire,103.24,13656.0,2017-10-08 00:00:00,3.0,2018-12-22 22:53:19,2019-01-26 22:53:19,233.86,247.15,0
37,48.0,77,"Artisans, commerçants, chefs d'entreprise",Appartement,Propriétaire,73.68,24593.0,2009-04-16 00:00:00,1.0,2013-04-14 19:29:45,2013-04-30 19:29:45,217.57,227.96,0
38,55.0,84,Cadres et professions intellectuelles supérieures,Appartement,Locataire,48.06,30771.0,1995-02-07 00:00:00,1.0,1999-05-15 05:57:16,1999-06-04 05:57:16,201.25,201.91,0
39,63.0,92,Employés,Appartement,Propriétaire,56.38,36944.0,2002-06-02 00:00:00,3.0,2006-09-03 19:22:13,2006-09-17 19:22:13,187.2,203.37,0
40,34.0,78,Employés,Appartement,Locataire,62.19,19057.0,1997-12-13 00:00:00,1.0,1998-07-16 07:23:34,1998-07-24 07:23:34,233.31,233.78,0
41,41.0,42,Inactifs,Appartement,Propriétaire,64.57,11983.0,2017-09-28 00:00:00,1.0,2020-07-06 05:11:13,2020-10-15 05:11:13,208.49,218.47,0
42,20.0,44,Ouvriers,Appartement,Propriétaire,76.06,28177.0,2005-10-04 00:00:00,1.0,2008-01-14 04:57:37,2008-05-22 04:57:37,222.33,223.22,1
43,67.0,92,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,94.52,12100.0,2013-02-05 00:00:00,1.0,2013-07-10 08:26:08,2013-07-14 08:26:08,216.47,221.08,0
44,35.0,48,Inactifs,Maison,Locataire,94.37,10251.0,2004-02-22 00:00:00,0.0,,,330.6,336.37,0
45,53.0,79,Cadres et professions intellectuelles supérieures,Maison,Locataire,116.71,18186.0,2000-03-29 00:00:00,2.0,2003-11-22 08:55:58,2004-01-16 08:55:58,394.57,403.88,0
46,46.0,95,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,54.09,39494.0,1995-09-30 00:00:00,2.0,2000-03-16 11:06:15,2000-04-24 11:06:15,219.35,240.5,0
47,34.0,76,Agriculteurs exploitants,Appartement,Locataire,37.74,26397.0,2004-05-07 00:00:00,1.0,2007-09-03 12:43:14,2007-09-04 12:43:14,181.89,183.8,0
48,36.0,91,Employés,Maison,Propriétaire,74.09,23353.0,1999-05-15 00:00:00,3.0,2001-04-03 03:20:25,2001-04-04 03:20:25,398.69,458.78,1
49,55.0,73,"Artisans, commerçants, chefs d'entreprise",Appartement,Propriétaire,79.16,25870.0,2003-08-26 00:00:00,2.0,2004-08-18 08:07:07,2004-10-12 08:07:07,241.7,255.83,0
50,28.0,86,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,148.09,26953.0,2018-10-23 00:00:00,1.0,2019-12-03 07:34:24,2020-01-19 07:34:24,360.81,369.46,0
51,58.0,15,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,126.42,14194.0,2002-05-25 00:00:00,1.0,2004-05-07 10:36:14,2004-05-08 10:36:14,378.62,388.15,0
52,48.0,47,Employés,Maison,Propriétaire,133.8,52051.0,2005-08-28 00:00:00,2.0,2005-12-16 02:20:45,2005-12-17 02:20:45,391.98,420.41,0
53,39.0,05,Ouvriers,Appartement,Locataire,84.0,24180.0,2011-10-13 00:00:00,1.0,2013-12-28 03:49:48,2014-04-12 03:49:48,226.44,230.16,0
54,43.0,94,Employés,Maison,Propriétaire,109.72,27347.0,2016-02-16 00:00:00,3.0,2017-02-11 06:56:08,2017-03-03 06:56:08,356.11,442.12,0
55,34.0,89,Employés,Appartement,Propriétaire,46.29,33610.0,2020-11-04 00:00:00,2.0,2020-12-14 07:54:37,2020-12-15 07:54:37,231.94,233.61,0
56,32.0,2A,Agriculteurs exploitants,Appartement,Propriétaire,87.72,25209.0,2010-06-17 00:00:00,1.0,2011-06-16 20:10:13,2011-08-31 20:10:13,213.84,229.86,1
57,66.0,10,Cadres et professions intellectuelles supérieures,Appartement,Locataire,66.13,22403.0,2020-11-22 00:00:00,3.0,2020-12-20 21:07:36,2020-12-30 21:07:36,225.64,241.94,0
58,54.0,64,Cadres et professions intellectuelles supérieures,Appartement,Propriétaire,85.67,20149.0,2015-05-01 00:00:00,0.0,,,215.02,215.14,0
59,23.0,94,Agriculteurs exploitants,Maison,Occupant à titre gratuit,125.02,28925.0,2005-11-01 00:00:00,2.0,2009-02-07 11:31:24,2009-06-21 11:31:24,405.86,414.81,0
60,35.0,49,Agriculteurs exploitants,Appartement,Locataire,66.48,11955.0,2000-12-30 00:00:00,1.0,2003-04-22 17:04:57,2003-08-21 17:04:57,209.62,210.96,0
61,31.0,21,Employés,Appartement,Propriétaire,74.31,11521.0,2004-11-28 00:00:00,1.0,2007-02-19 08:22:38,2007-02-20 08:22:38,209.44,210.97,0
62,55.0,2A,Ouvriers,Appartement,Locataire,70.25,17485.0,1995-06-04 00:00:00,2.0,1995-08-29 16:37:20,1995-09-05 16:37:20,199.08,221.76,0
63,62.0,75,Employés,Maison,Locataire,116.19,17930.0,2011-05-10 00:00:00,0.0,,,348.04,350.75,0
64,42.0,52,Agriculteurs exploitants,Appartement,Locataire,82.29,29027.0,2011-07-23 00:00:00,1.0,2013-08-10 08:55:36,2013-11-30 08:55:36,189.66,196.78,0
65,29.0,02,Agriculteurs exploitants,Appartement,Locataire,67.09,11132.0,2014-08-03 00:00:00,1.0,2018-07-18 20:29:28,2018-10-26 20:29:28,218.06,221.56,0
66,50.0,92,Ouvriers,Maison,Locataire,142.78,47339.0,2018-09-30 00:00:00,2.0,2019-07-15 01:50:45,2019-12-07 01:50:45,324.12,384.99,0
67,15.0,43,Employés,Maison,Locataire,118.39,13219.0,2007-07-11 00:00:00,3.0,2009-07-09 21:21:33,2009-07-23 21:21:33,380.98,423.24,0
68,34.0,08,Cadres et professions intellectuelles supérieures,Appartement,Propriétaire,59.54,20324.0,2000-02-21 00:00:00,0.0,,,220.95,221.3,0
69,64.0,94,"Artisans, commerçants, chefs d'entreprise",Appartement,Propriétaire,96.31,31187.0,2007-05-19 00:00:00,1.0,2009-06-30 08:11:36,2009-07-01 08:11:36,203.18,203.26,0
70,54.0,02,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,71.11,38222.0,2010-08-01 00:00:00,2.0,2011-06-09 22:26:54,2011-10-15 22:26:54,223.39,250.27,0
71,33.0,95,Cadres et professions intellectuelles supérieures,Appartement,Locataire,73.41,9134.0,2002-10-01 00:00:00,0.0,,,206.24,206.97,0
72,53.0,89,Employés,Maison,Propriétaire,156.93,15005.0,2007-07-10 00:00:00,1.0,2011-01-13 18:19:11,2011-01-14 18:19:11,330.69,331.11,0
73,61.0,94,"Artisans, commerçants, chefs d'entreprise",Appartement,Propriétaire,83.58,14051.0,2010-06-22 00:00:00,0.0,,,221.17,222.43,0
74,43.0,31,Employés,Appartement,Locataire,43.17,40338.0,2002-11-08 00:00:00,2.0,2003-07-08 07:58:33,2003-08-01 07:58:33,219.09,224.5,0
75,34.0,92,Ouvriers,Appartement,Locataire,63.4,29127.0,2012-01-29 00:00:00,2.0,2013-02-13 04:57:26,2013-06-09 04:57:26,224.34,225.15,0
76,60.0,15,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,87.0,27643.0,2005-09-07 00:00:00,1.0,2010-04-03 17:19:46,2010-07-06 17:19:46,193.48,193.68,0
77,40.0,13,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,66.08,27025.0,2008-11-11 00:00:00,0.0,,,206.64,207.71,0
78,37.0,92,Employés,Appartement,Locataire,53.33,23121.0,2019-03-27 00:00:00,2.0,2019-10-25 17:12:38,2019-10-26 17:12:38,209.45,231.55,0
79,39.0,34,Employés,Maison,Propriétaire,161.1,32826.0,2005-11-11 00:00:00,2.0,2007-09-25 10:46:11,2007-11-30 10:46:11,347.68,366.69,0
80,46.0,37,Ouvriers,Appartement,Propriétaire,106.14,10681.0,2019-07-10 00:00:00,1.0,2020-11-20 03:52:01,2020-12-15 09:52:01,222.21,222.51,0
81,36.0,77,Agriculteurs exploitants,Maison,Locataire,110.87,44628.0,2018-07-02 00:00:00,3.0,2019-01-02 22:45:50,2019-01-26 22:45:50,391.69,467.32,0
82,45.0,82,Inactifs,Appartement,Locataire,77.38,28829.0,2013-08-13 00:00:00,3.0,2015-01-21 09:30:00,2015-01-28 09:30:00,199.72,218.67,0
83,29.0,56,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,85.85,28747.0,2018-07-31 00:00:00,2.0,2019-01-23 16:09:16,2019-04-09 16:09:16,378.85,379.8,0
84,52.0,2B,Agriculteurs exploitants,Appartement,Propriétaire,60.16,29183.0,2015-01-20 00:00:00,3.0,2015-02-11 01:47:38,2015-03-14 01:47:38,192.9,204.5,0
85,55.0,49,Inactifs,Appartement,Locataire,75.58,35287.0,2006-10-24 00:00:00,2.0,2011-07-08 15:12:42,2011-08-18 15:12:42,228.24,257.87,0
86,44.0,65,Ouvriers,Appartement,Locataire,83.3,11397.0,2002-06-04 00:00:00,3.0,2003-04-28 10:22:18,2003-08-27 10:22:18,199.31,217.94,0
87,54.0,52,Agriculteurs exploitants,Appartement,Propriétaire,65.38,44659.0,2015-07-13 00:00:00,2.0,2018-01-14 18:46:13,2018-03-06 18:46:13,202.99,212.22,0
88,51.0,91,Ouvriers,Appartement,Locataire,74.94,22608.0,2009-03-30 00:00:00,1.0,2009-04-16 12:35:07,2009-04-17 12:35:07,235.61,236.19,0
89,63.0,78,Employés,Maison,Locataire,59.51,30162.0,2000-11-22 00:00:00,1.0,2004-10-29 06:38:45,2005-02-16 06:38:45,366.79,387.93,0
90,46.0,974,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,100.96,21458.0,2012-02-27 00:00:00,2.0,2015-01-17 19:54:25,2015-03-14 19:54:25,345.15,369.95,0
91,56.0,18,Employés,Appartement,Locataire,83.19,52439.0,2007-05-18 00:00:00,2.0,2011-07-31 23:16:44,2011-09-08 23:16:44,243.91,257.42,0
92,61.0,75,"Artisans, commerçants, chefs d'entreprise",Appartement,Propriétaire,89.86,46908.0,2000-05-23 00:00:00,3.0,2002-01-16 16:10:58,2002-01-17 16:10:58,196.38,205.1,0
93,52.0,95,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,137.67,44864.0,1995-09-18 00:00:00,1.0,1996-07-11 09:35:00,1996-08-27 09:35:00,385.83,386.27,0
94,45.0,32,Ouvriers,Maison,Locataire,130.88,14433.0,2014-12-13 00:00:00,1.0,2016-09-15 09:20:29,2016-09-19 09:20:29,355.45,360.4,0
95,19.0,94,Ouvriers,Maison,Propriétaire,158.88,43502.0,2014-05-08 00:00:00,3.0,2018-07-17 12:16:44,2018-10-15 12:16:44,381.16,430.36,1
96,33.0,89,Employés,Appartement,Locataire,31.27,14253.0,2015-10-26 00:00:00,1.0,2019-05-03 04:42:06,2019-05-10 04:42:06,242.56,242.86,0
97,33.0,30,Employés,Appartement,Locataire,72.04,23175.0,1998-06-18 00:00:00,1.0,1998-12-25 15:25:00,1999-04-06 15:25:00,214.01,216.64,0
98,49.0,64,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,62.95,23406.0,1999-09-29 00:00:00,3.0,2004-07-20 07:26:35,2004-08-08 07:26:35,252.55,280.61,0
99,50.0,10,Inactifs,Appartement,Propriétaire,65.52,31286.0,1999-01-14 00:00:00,2.0,1999-12-27 00:58:07,2000-01-06 00:58:07,253.27,277.71,0
100,50.0,87,Employés,Maison,Locataire,89.98,17299.0,2020-01-02 00:00:00,1.0,2020-01-27 13:35:44,2020-02-04 13:35:44,359.97,363.71,0
101,27.0,46,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,107.66,23016.0,2007-01-07 00:00:00,1.0,2008-10-21 22:10:10,2009-02-03 22:10:10,358.66,360.6,0
102,39.0,91,Employés,Appartement,Propriétaire,102.79,28501.0,1996-05-06 00:00:00,2.0,1996-11-12 12:01:17,1997-03-11 12:01:17,198.82,201.25,0
103,39.0,05,Employés,Maison,Locataire,123.65,21562.0,2020-05-07 00:00:00,1.0,2020-09-01 22:10:50,2020-09-02 22:10:50,344.46,353.12,0
104,70.0,17,Employés,Appartement,Locataire,80.81,15135.0,2011-10-27 00:00:00,1.0,2016-04-19 07:05:54,2016-06-07 07:05:54,218.85,235.12,0
105,39.0,37,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,100.64,22213.0,2014-02-02 00:00:00,0.0,,,387.93,388.85,0
106,55.0,69,Agriculteurs exploitants,Appartement,Propriétaire,78.27,17189.0,2018-06-14 00:00:00,0.0,,,222.25,222.44,0
107,51.0,94,Employés,Appartement,Locataire,38.91,17799.0,1998-06-14 00:00:00,3.0,1999-08-21 06:46:01,1999-08-22 06:46:01,179.76,222.32,0
108,35.0,06,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,80.66,10825.0,1998-12-26 00:00:00,0.0,,,224.72,226.84,0
109,60.0,94,Cadres et professions intellectuelles supérieures,Appartement,Propriétaire,64.44,17905.0,2012-09-11 00:00:00,3.0,2017-05-29 05:05:42,2017-05-30 05:05:42,204.04,230.9,0
110,71.0,94,Ouvriers,Maison,Propriétaire,117.72,16504.0,1997-06-19 00:00:00,3.0,2001-06-05 04:02:14,2001-06-13 04:02:14,382.63,443.72,1
111,20.0,46,Cadres et professions intellectuelles supérieures,Maison,Locataire,164.35,46083.0,2011-10-04 00:00:00,1.0,2014-10-21 07:12:49,2014-12-29 07:12:49,375.18,377.94,0
112,41.0,75,Cadres et professions intellectuelles supérieures,Appartement,Propriétaire,53.12,21602.0,1997-05-14 00:00:00,0.0,,,253.24,254.15,0
113,15.0,75,Agriculteurs exploitants,Maison,Locataire,129.16,23631.0,2006-05-17 00:00:00,1.0,2010-02-15 18:28:27,2010-07-13 18:28:27,408.71,415.64,0
114,48.0,30,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,43.56,45345.0,2017-09-19 00:00:00,1.0,2019-10-09 13:38:37,2019-11-21 13:38:37,220.07,221.05,0
115,66.0,65,Employés,Maison,Propriétaire,94.42,14336.0,1998-01-29 00:00:00,1.0,2001-10-13 02:15:21,2001-12-18 02:15:21,385.18,417.48,0
116,25.0,78,Agriculteurs exploitants,Maison,Propriétaire,120.78,33934.0,2001-08-07 00:00:00,0.0,,,369.87,374.58,1
117,65.0,32,Agriculteurs exploitants,Appartement,Locataire,70.48,15095.0,2000-05-17 00:00:00,2.0,2001-07-21 01:20:58,2001-09-14 01:20:58,242.31,252.72,0
118,38.0,78,Agriculteurs exploitants,Appartement,Propriétaire,85.64,37635.0,1996-08-06 00:00:00,2.0,2000-12-11 04:35:14,2000-12-12 04:35:14,203.27,206.77,0
119,64.0,05,Inactifs,Appartement,Propriétaire,81.14,38161.0,2015-08-20 00:00:00,2.0,2016-08-25 11:28:03,2016-09-19 11:28:03,241.21,276.91,0
120,33.0,40,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,165.02,21789.0,2003-01-08 00:00:00,2.0,2004-06-19 00:52:52,2004-08-04 00:52:52,398.47,410.87,0
121,48.0,95,Employés,Appartement,Propriétaire,69.91,22817.0,1998-01-25 00:00:00,0.0,,,204.74,206.24,0
122,31.0,47,Ouvriers,Appartement,Locataire,86.9,12513.0,2011-09-29 00:00:00,2.0,2012-01-20 09:57:27,2012-02-14 09:57:27,215.54,232.54,0
123,33.0,37,Agriculteurs exploitants,Appartement,Propriétaire,63.13,16531.0,2013-01-22 00:00:00,3.0,2016-04-17 02:52:27,2016-05-30 02:52:27,203.59,210.11,0
124,19.0,40,Employés,Maison,Locataire,89.15,18758.0,2014-09-01 00:00:00,0.0,,,390.04,397.36,0
125,57.0,971,Employés,Appartement,Propriétaire,86.26,27260.0,2020-07-19 00:00:00,1.0,2020-12-21 18:09:12,2020-12-22 18:09:12,233.46,236.13,0
126,47.0,43,Employés,Appartement,Locataire,57.12,16194.0,2007-12-05 00:00:00,1.0,2010-06-21 19:38:51,2010-07-16 19:38:51,243.1,274.84,0
127,25.0,02,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,75.99,18121.0,2019-07-17 00:00:00,2.0,2019-08-22 00:03:37,2019-12-25 00:03:37,210.64,230.37,0
128,37.0,94,Employés,Maison,Locataire,109.72,29615.0,2012-09-28 00:00:00,2.0,2013-11-23 01:12:08,2013-12-26 01:12:08,422.29,426.76,0
129,70.0,92,Employés,Appartement,Locataire,47.64,22620.0,2010-01-03 00:00:00,1.0,2011-10-27 21:53:04,2011-12-01 21:53:04,226.82,236.8,0
130,23.0,95,Cadres et professions intellectuelles supérieures,Appartement,Propriétaire,105.27,22486.0,2004-01-02 00:00:00,1.0,2006-12-10 13:04:36,2006-12-22 13:04:36,209.76,210.67,0
131,51.0,06,Agriculteurs exploitants,Maison,Locataire,108.59,31431.0,1999-06-19 00:00:00,0.0,,,395.22,400.9,0
132,41.0,01,"Artisans, commerçants, chefs d'entreprise",Appartement,Locataire,45.22,9930.0,1995-11-30 00:00:00,2.0,2000-10-26 22:36:30,2000-10-27 22:36:30,203.08,211.04,0
133,67.0,89,Employés,Appartement,Propriétaire,67.26,10266.0,2010-02-15 00:00:00,0.0,,,210.46,210.93,0
134,28.0,93,Cadres et professions intellectuelles supérieures,Appartement,Propriétaire,88.04,28402.0,2009-11-24 00:00:00,1.0,2012-09-05 09:45:35,2013-01-15 09:45:35,245.25,251.8,1
135,15.0,86,Employés,Maison,Locataire,118.05,31071.0,2008-12-17 00:00:00,1.0,2010-04-22 00:06:21,2010-07-22 00:06:21,341.12,362.38,0
136,43.0,41,Agriculteurs exploitants,Maison,Locataire,121.67,16131.0,2003-08-28 00:00:00,3.0,2003-09-10 04:33:32,2003-10-06 04:33:32,368.57,390.1,0
137,47.0,89,Cadres et professions intellectuelles supérieures,Maison,Locataire,177.15,13021.0,2002-09-08 00:00:00,3.0,2006-06-10 23:24:15,2006-06-21 23:24:15,365.32,376.2,0
138,56.0,75,Cadres et professions intellectuelles supérieures,Appartement,Locataire,74.3,21743.0,2007-02-08 00:00:00,0.0,,,207.01,209.69,0
139,27.0,68,Cadres et professions intellectuelles supérieures,Appartement,Locataire,44.03,37811.0,2018-12-06 00:00:00,2.0,2020-03-30 03:56:25,2020-03-31 03:56:25,223.74,242.16,0
140,40.0,06,Cadres et professions intellectuelles supérieures,Appartement,Locataire,80.31,13492.0,2011-11-02 00:00:00,2.0,2015-06-04 15:45:11,2015-06-05 15:45:11,220.14,227.74,0
141,50.0,75,Employés,Appartement,Locataire,98.36,27857.0,2007-03-04 00:00:00,2.0,2009-04-23 00:04:51,2009-06-02 00:04:51,204.65,212.82,0
142,43.0,76,Agriculteurs exploitants,Appartement,Propriétaire,54.88,12828.0,1997-11-08 00:00:00,0.0,,,207.31,211.31,1
143,35.0,27,Agriculteurs exploitants,Appartement,Propriétaire,65.31,24236.0,2003-08-29 00:00:00,2.0,2006-07-30 23:49:52,2006-09-08 23:49:52,225.57,242.54,0
144,31.0,2A,Cadres et professions intellectuelles supérieures,Appartement,Locataire,78.21,12422.0,2009-10-20 00:00:00,2.0,2010-09-25 01:20:25,2010-09-26 01:20:25,229.28,266.87,0
145,59.0,77,Ouvriers,Maison,Propriétaire,82.8,13904.0,1997-12-22 00:00:00,1.0,2002-05-05 01:14:52,2002-06-26 01:14:52,361.74,365.69,1
146,44.0,75,Agriculteurs exploitants,Appartement,Propriétaire,51.32,14558.0,1998-07-05 00:00:00,2.0,2003-06-24 13:17:43,2003-08-05 13:17:43,227.81,233.15,1
147,44.0,11,Agriculteurs exploitants,Appartement,Locataire,66.44,22322.0,1998-12-08 00:00:00,2.0,2003-11-16 01:26:53,2004-01-20 01:26:53,221.61,234.34,0
148,51.0,77,Ouvriers,Appartement,Propriétaire,69.2,55091.0,2006-12-10 00:00:00,2.0,2008-07-22 06:56:47,2008-07-23 06:56:47,234.8,240.19,0
149,47.0,66,Employés,Appartement,Locataire,47.88,26607.0,1998-06-23 00:00:00,2.0,2000-03-12 21:08:19,2000-04-16 21:08:19,206.63,219.8,0
150,22.0,63,Cadres et professions intellectuelles supérieures,Appartement,Locataire,55.48,38519.0,2008-08-30 00:00:00,2.0,2010-10-24 10:27:31,2010-11-14 10:27:31,205.76,229.89,0
151,41.0,93,Ouvriers,Maison,Propriétaire,58.71,26150.0,2006-12-29 00:00:00,2.0,2011-01-10 22:47:18,2011-01-11 22:47:18,372.5,434.81,1
152,56.0,95,"Artisans, commerçants, chefs d'entreprise",Maison,Locataire,57.45,17992.0,1998-01-14 00:00:00,1.0,2001-08-21 21:14:16,2001-11-28 21:14:16,370.43,375.99,0
153,40.0,95,Employés,Maison,Locataire,142.82,13499.0,2007-03-06 00:00:00,1.0,2009-08-01 13:23:29,2009-08-29 13:23:29,309.8,309.86,0
154,50.0,31,Inactifs,Appartement,Locataire,68.46,19282.0,2017-08-28 00:00:00,2.0,2019-04-07 21:52:00,2019-06-10 21:52:00,215.66,221.35,0
